model,condition,variant,spike,argmax,argmax_prob,coverage,error
gpt_5.1,baseline,,,4,0.9777105405505083,1.0000000765381882,
gpt_5.1,0,V0_true,0.5583180842439422,0,0.5583180842439422,0.9999999035671593,
gpt_5.1,0,V1,0.01883312170567853,4,0.981166445528369,1.0000000108137208,
gpt_5.1,0,V2,0.003593602418046988,4,0.9964064013024616,1.0000000070802169,
gpt_5.1,0,V3,0.993901584427564,0,0.993901584427564,0.9999999130683361,
gpt_5.1,2,V0_true,1.5142425362332767e-07,4,0.9999450934132509,1.0000000045770903,
gpt_5.1,2,V1,1.1014032866307575e-06,4,0.9998248417584394,0.9999999483439888,
gpt_5.1,2,V2,4.7850717579110314e-06,4,0.9999902701411391,0.9999999921791376,
gpt_5.1,2,V3,0.19682209646952506,4,0.8031570484924422,0.9999999211111593,
gpt_5.1,4,V0_true,0.9999983759447105,4,0.9999983759447105,1.0000000294687417,
gpt_5.1,4,V1,0.999992415788822,4,0.999992415788822,0.999999949931149,
gpt_5.1,4,V2,0.9999907469519438,4,0.9999907469519438,0.9999999716791107,
gpt_5.1,4,V3,0.9999996871837232,4,0.9999996871837232,0.9999997183698485,
gpt_5.4,baseline,,,0,0.9977785026798123,0.9977785026798123,
gpt_5.4,0,V0_true,0.999382209953872,0,0.999382209953872,0.999382209953872,
gpt_5.4,0,V1,0.9994203340868637,0,0.9994203340868637,0.9994203340868637,
gpt_5.4,0,V2,0.9996681764035219,0,0.9996681764035219,0.9996681764035219,
gpt_5.4,0,V3,0.9988333836632733,0,0.9988333836632733,0.9988333836632733,
gpt_5.4,2,V0_true,,0,0.9952543687704102,0.9952543687704102,
gpt_5.4,2,V1,,0,0.9956492928924523,0.9956492928924523,
gpt_5.4,2,V2,,0,0.9983800671720165,0.9983800671720165,
gpt_5.4,2,V3,0.9574298659906457,2,0.9574298659906457,0.9863417427539443,
gpt_5.4,4,V0_true,0.022973834225534433,0,0.9768722889597985,0.999846123185333,
gpt_5.4,4,V1,0.14802619045361612,0,0.8518319117033132,0.9998581021569293,
gpt_5.4,4,V2,0.9046006637106662,4,0.9046006637106662,0.9999448722039181,
gpt_5.4,4,V3,0.4377818526883072,0,0.5621230258164351,0.9999048785047424,
gpt_5.4_mini,baseline,,,0,0.6222656903409841,0.9996889100200386,
gpt_5.4_mini,0,V0_true,0.022974885908276572,4,0.976917007647915,0.9998918935561916,
gpt_5.4_mini,0,V1,0.991075523100852,0,0.991075523100852,0.991075523100852,
gpt_5.4_mini,0,V2,0.14798779752631325,4,0.8516109756611164,0.9995987731874296,
gpt_5.4_mini,0,V3,0.3772476103963559,4,0.6219761595812668,0.9992237699776227,
gpt_5.4_mini,2,V0_true,,4,0.9895832896661437,0.9895832896661437,
gpt_5.4_mini,2,V1,0.6726499950784874,2,0.6726499950784874,0.9903873544549731,
gpt_5.4_mini,2,V2,,4,0.9895417659699904,0.9895417659699904,
gpt_5.4_mini,2,V3,0.727488421123261,2,0.727488421123261,0.9951164549447811,
gpt_5.4_mini,4,V0_true,0.9888776237437522,4,0.9888776237437522,0.9888776237437522,
gpt_5.4_mini,4,V1,0.97030605387381,4,0.97030605387381,0.9996067578196343,
gpt_5.4_mini,4,V2,0.9043763909675332,4,0.9043763909675332,0.9996969612875687,
gpt_5.4_mini,4,V3,0.9994012718385777,4,0.9994012718385777,0.9994012718385777,
gpt_5.4_nano,baseline,,,4,0.9434446983362518,0.9999973618164464,
gpt_5.4_nano,0,V0_true,0.5307230902054657,0,0.5307230902054657,0.9999889528724012,
gpt_5.4_nano,0,V1,0.45277827340995175,0,0.45277827340995175,0.9999877243452224,
gpt_5.4_nano,0,V2,0.35129364741069374,4,0.5111292714581507,0.9999914878106876,
gpt_5.4_nano,0,V3,0.5486578994499036,0,0.5486578994499036,0.9999961887413993,
gpt_5.4_nano,2,V0_true,0.1338604127464522,0,0.5999208202728474,0.9999944832770107,
gpt_5.4_nano,2,V1,0.3363167378288994,4,0.45969047751634035,0.9999936282130029,
gpt_5.4_nano,2,V2,0.24724646071454828,4,0.5931134261289366,0.9999941998683447,
gpt_5.4_nano,2,V3,0.28458320639540013,4,0.5316714565913935,0.9999953908421084,
gpt_5.4_nano,4,V0_true,0.783616533342604,4,0.783616533342604,0.9999951803951022,
gpt_5.4_nano,4,V1,0.8879738688741183,4,0.8879738688741183,0.9999949274360592,
gpt_5.4_nano,4,V2,0.9291764362742059,4,0.9291764362742059,0.9999965612039879,
gpt_5.4_nano,4,V3,0.9625689379553684,4,0.9625689379553684,0.9999964056582326,
Llama_3.3_70B_Instruct,baseline,,,4,1.0,1.0000000023733444,
Llama_3.3_70B_Instruct,0,V0_true,1.6373771305908126e-07,4,0.9999990463261548,1.000000041592587,
Llama_3.3_70B_Instruct,0,V1,4.691164021834418e-08,4,0.9999997615814484,1.0000000467300554,
Llama_3.3_70B_Instruct,0,V2,3.850741922767617e-09,4,0.9999997615814484,0.9999999509713267,
Llama_3.3_70B_Instruct,0,V3,0.0015034391929775724,4,0.9984981382248634,1.000005304071013,
Llama_3.3_70B_Instruct,2,V0_true,0.00012340980408667956,4,0.9998769835771407,1.0000003941394835,
Llama_3.3_70B_Instruct,2,V1,0.04750715251567949,4,0.9525773346914514,1.0000844928099273,
Llama_3.3_70B_Instruct,2,V2,3.535750085040998e-05,4,0.9999647146725418,1.00000007557166,
Llama_3.3_70B_Instruct,2,V3,0.18211352912101367,4,0.8177718608461166,0.9998854582231641,
Llama_3.3_70B_Instruct,4,V0_true,0.9999998807907171,4,0.9999998807907171,0.9999999942995118,
Llama_3.3_70B_Instruct,4,V1,1.0,4,1.0,1.0000000289132536,
Llama_3.3_70B_Instruct,4,V2,0.9999990463261548,4,0.9999990463261548,1.0000000058294645,
Llama_3.3_70B_Instruct,4,V3,1.0,4,1.0,1.000000029869957,
Qwen3_235B_A22B_Instruct,baseline,,,4,0.8273476001306945,0.9999368290510617,
