extraction1,extraction2,extraction3,extraction4,extraction5,extraction6,extraction7,extraction8,extraction9,extraction10,Treatment,count
1,1,1,1,1,1,1,1,1,1,Control,1
20,15,25,20,23,30,25,25,25,20,Self-serving,1
20,21,21,8,28,19,21,30,21,21,Control,1
20,20,18,17,15,15,15,12,14,15,Control,1
20,20,18,11,20,20,15,25,20,16,Pro-social,1
20,20,15,20,20,25,25,20,20,20,Pro-social,1
20,18,20,20,20,24,25,20,18,20,Self-serving,1
20,18,18,20,19,19,18,19,15,18,Control,1
20,16,17,15,24,18,15,15,24,17,Control,1
20,16,16,23,16,11,6,6,21,16,Self-serving,1
20,15,30,10,22,27,14,16,10,10,Control,1
20,15,28,22,18,27,13,25,16,30,Control,1
20,15,20,24,24,20,18,25,25,28,Pro-social,1
20,22,25,19,16,22,20,26,26,11,Pro-social,1
20,15,18,18,17,20,15,17,20,15,Self-serving,1
20,15,15,15,15,14,15,15,20,30,Pro-social,1
20,15,12,16,12,10,24,16,24,18,Pro-social,1
20,13,20,18,15,15,17,16,17,28,Self-serving,1
20,11,23,8,15,20,21,10,10,10,Pro-social,1
20,11,15,17,12,20,12,12,11,19,Pro-social,1
20,11,15,15,14,14,14,16,16,16,Pro-social,1
20,11,10,15,5,15,6,6,6,15,Control,1
20,10,30,10,10,15,15,15,15,20,Self-serving,1
20,10,15,20,30,15,25,20,10,10,Self-serving,1
20,22,20,22,15,20,21,19,20,23,Pro-social,1
20,22,25,25,25,20,25,24,27,20,Pro-social,1
19,16,25,17,30,16,11,19,19,19,Pro-social,1
20,30,30,30,30,29,30,30,29,30,Control,1
23,7,20,10,18,7,2,13,4,1,Self-serving,1
23,6,25,20,15,18,20,25,16,22,Self-serving,1
23,5,15,20,20,23,23,23,18,18,Self-serving,1
23,5,8,20,12,3,11,18,15,10,Self-serving,1
23,5,7,6,8,4,4,4,5,4,Self-serving,1
22,27,15,17,20,17,10,12,11,15,Self-serving,1
22,18,1,27,14,28,12,17,15,14,Control,1
22,15,28,17,19,14,13,15,20,17,Control,1
