1,2,3,4,5,6,svo,role,count
4,8,8,4,0,8,34.87532834460219,A,29
4,8,8,3,0,8,37.48241142771847,B,24
4,8,8,3,0,8,37.48241142771847,A,24
0,8,8,8,0,0,7.815293546766881,A,20
4,8,8,4,0,8,34.87532834460219,B,17
0,8,8,8,0,0,7.815293546766881,B,13
4,8,8,0,0,8,45.0,A,9
0,8,8,8,0,8,16.260204708311957,B,8
4,8,8,0,0,8,45.0,B,7
4,8,8,8,0,8,23.838740183171723,A,6
0,8,8,8,8,0,-7.815293546766881,A,5
4,8,8,5,0,8,32.158103715827835,B,4
8,8,0,0,0,8,61.38954033403479,B,3
0,8,8,5,0,0,15.47525508916384,A,3
3,8,8,4,0,7,31.855132382449256,A,3
0,0,8,8,0,0,0.0,B,3
0,8,8,8,0,8,16.260204708311957,A,3
4,8,8,8,0,8,23.838740183171723,B,3
4,8,8,5,0,8,32.158103715827835,A,3
0,8,8,8,8,0,-7.815293546766881,B,3
0,8,8,8,8,8,0.0,B,3
0,8,8,8,8,8,0.0,A,2
4,7,8,4,0,8,34.35938029758941,B,2
3,8,8,5,0,8,30.18788107358616,A,2
8,8,8,4,0,8,43.29527168099274,B,2
4,8,8,6,0,0,20.128685321723015,B,2
0,8,8,5,0,8,24.196252587791253,B,2
4,8,8,5,0,7,31.08750532347998,B,2
4,8,8,5,0,6,29.80475147318013,A,2
0,0,8,8,8,0,-16.260204708311957,B,2
4,8,8,3,0,7,36.44444175658712,B,2
4,8,8,4,0,5,31.49768024038355,B,2
4,8,8,4,0,0,25.806928209250067,B,2
2,8,8,4,0,8,30.84380741314481,A,2
0,8,8,6,0,8,21.501434324047914,B,2
5,8,8,4,0,8,36.86989764584402,A,2
3,8,8,4,0,6,30.597784209334225,B,2
4,8,0,4,0,8,43.1874473144844,A,2
3,8,8,3,0,7,34.47221388003644,B,2
0,8,8,4,0,0,18.14557865948141,A,2
5,8,8,3,0,8,39.47245984834383,B,2
0,8,8,0,0,8,37.092837297041534,B,2
0,8,0,8,0,0,12.804266065286754,A,2
7,8,8,4,0,8,41.25383795039638,B,2
3,8,8,4,0,8,32.9052429229879,A,2
4,3,8,4,0,8,31.539796777599832,A,1
4,8,8,3,0,5,34.15265315704652,B,1
4,8,8,3,0,4,33.0939479780548,A,1
4,8,8,0,8,8,31.42956561483851,A,1
4,8,8,3,0,0,28.5138721318481,B,1
4,7,8,4,3,8,28.85566121971652,B,1
4,8,8,2,0,8,40.072890052350985,A,1
4,8,8,1,0,5,39.38779677067512,B,1
4,7,8,6,1,1,18.3557015988877,A,1
4,8,0,0,0,0,45.0,B,1
4,8,0,0,4,0,37.998732442504654,A,1
4,8,4,4,0,8,38.89068321476311,B,1
4,8,8,0,0,6,42.90278181804826,B,1
4,4,4,4,4,4,22.932100437589792,B,1
4,5,0,5,7,0,10.619655276155136,B,1
4,8,4,4,0,8,38.89068321476311,A,1
4,8,7,5,0,8,33.084852928734975,B,1
4,5,8,3,0,8,35.826464557718076,B,1
4,8,0,8,4,0,11.592175410291066,A,1
4,8,2,4,8,8,24.66942891846323,A,1
4,7,8,3,0,8,37.01361585490981,A,1
4,8,3,0,0,4,46.01697803071917,B,1
4,8,7,3,0,8,38.437301491062534,A,1
4,8,7,3,0,7,37.39422042561815,A,1
4,8,6,3,0,8,39.55966796899448,B,1
4,8,5,4,0,8,37.896418659268825,B,1
4,8,5,3,0,8,40.54882599711343,A,1
4,8,3,2,0,4,40.7895015966978,A,1
4,7,8,3,1,7,34.1669536080293,B,1
0,0,8,4,0,8,20.556045219583464,A,1
4,8,8,3,2,8,34.1669536080293,A,1
8,2,1,5,3,8,39.9305798673875,A,1
5,8,8,4,3,5,27.937142826538604,A,1
