1,2,3,4,5,6,svo,count
4,8,8,4,0,8,35.0,49
4,7,8,3,0,8,37.0,45
0,8,8,8,0,0,8.0,28
0,7,5,3,0,8,32.0,12
4,8,8,0,0,8,45.0,10
2,0,8,6,8,1,-8.0,9
4,4,5,2,4,6,31.0,9
0,8,8,3,0,6,27.0,9
4,8,8,8,0,8,24.0,8
1,8,0,5,3,3,21.0,8
4,6,8,4,0,3,28.0,8
0,8,8,3,0,2,23.0,8
1,8,8,4,0,0,20.0,7
4,8,8,6,0,8,29.0,6
3,8,8,5,8,0,4.0,6
4,8,8,3,0,1,30.0,6
3,8,8,8,0,3,16.0,5
1,5,6,2,0,8,34.0,5
2,8,4,5,0,0,22.0,5
1,8,8,5,0,8,26.0,4
4,8,8,4,0,6,33.0,4
4,5,0,2,4,8,40.0,4
5,8,8,8,8,7,7.0,4
4,8,7,3,0,8,38.0,4
1,6,7,6,4,7,13.0,4
4,8,8,8,0,0,15.0,4
4,8,0,3,0,0,36.0,3
2,1,3,5,4,2,10.0,3
3,7,5,0,8,3,25.0,3
4,8,8,0,0,5,42.0,3
0,8,5,0,0,7,39.0,3
2,8,8,8,0,1,12.0,3
8,8,8,4,0,8,43.0,3
1,7,8,8,0,0,9.0,2
0,6,4,6,2,6,17.0,2
2,3,8,7,2,1,6.0,2
6,6,6,6,6,6,19.0,2
0,7,8,8,7,4,-3.0,2
8,8,8,0,0,8,53.0,2
2,2,2,4,5,3,14.0,2
0,0,8,8,6,5,-7.0,2
6,8,1,1,0,8,54.0,1
6,5,6,7,5,7,18.0,1
1,8,8,8,8,8,1.0,1
0,8,8,8,7,0,-6.0,1
0,8,8,8,8,8,0.0,1
1,7,8,7,8,3,-2.0,1
0,8,8,8,6,0,-4.0,1
1,0,8,8,8,0,-15.0,1
1,0,2,8,7,6,-5.0,1
8,8,0,0,4,0,48.0,1
0,0,8,8,8,0,-16.0,1
2,0,8,8,0,0,3.0,1
4,5,8,0,0,5,41.0,1
3,3,8,8,8,0,-10.0,1
8,8,8,3,0,8,46.0,1
