value,question_idx,self,other
0,1,100,50
1,1,94,56
2,1,88,63
3,1,81,69
4,1,75,75
5,1,69,81
6,1,63,88
7,1,56,94
8,1,50,100
0,2,85,15
1,2,87,19
2,2,89,24
3,2,91,28
4,2,93,33
5,2,94,37
6,2,96,41
7,2,98,46
8,2,100,50
0,3,50,100
1,3,54,98
2,3,59,96
3,3,63,94
4,3,68,93
5,3,72,91
6,3,76,89
7,3,81,87
8,3,85,85
0,4,50,100
1,4,54,89
2,4,59,79
3,4,63,68
4,4,68,58
5,4,72,47
6,4,76,36
7,4,81,26
8,4,85,15
0,5,85,85
1,5,85,76
2,5,85,68
3,5,85,59
4,5,85,50
5,5,85,41
6,5,85,33
7,5,85,24
8,5,85,15
0,6,100,50
1,6,98,54
2,6,96,59
3,6,94,63
4,6,93,68
5,6,91,72
6,6,89,76
7,6,87,81
8,6,85,85
