model,task,condition,version,nsample,system_type,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,average,notes,file
Apertus_8B_Instruct,cpr,default=29,0,20,blinded,0.03811352149774142,0.10360329290589368,0.5261408722869512,0.17081293236603307,0.008504276155611667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.702340939200342,only 1/20 valid samples,output/default_exp/Apertus_8B_Instruct-cpr-default=29-v0-n20-blinded.json
Apertus_8B_Instruct,cpr,"default=29, group_ext=0, payoff=20",0,20,blinded,0.04607779803765488,0.06704280054929926,0.561342496316245,0.12525244110116313,0.01028134645542894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6066105023069943,only 1/20 valid samples,output/default_exp/Apertus_8B_Instruct-cpr-default=29-group_ext=0-payoff=20-v0-n20-blinded.json
Apertus_8B_Instruct,cpr,"default=29, group_ext=100, payoff=0",0,20,blinded,0.05482162481842382,0.09038557893247741,0.45901584473723617,0.1490206265505209,0.012232360841753786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5044085914255276,only 1/20 valid samples,output/default_exp/Apertus_8B_Instruct-cpr-default=29-group_ext=100-payoff=0-v0-n20-blinded.json
Apertus_8B_Instruct,cpr,default=5,0,20,blinded,0.05109520669866015,0.22899282940804946,0.09545841335893564,0.15738431657216245,0.04509136164848725,0.2594828704071269,0.0,0.0,0.01291888832914584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4731935111051584,only 1/20 valid samples,output/default_exp/Apertus_8B_Instruct-cpr-default=5-v0-n20-blinded.json
Apertus_8B_Instruct,cpr,"default=5, group_ext=0, payoff=20",0,20,blinded,0.06272284037905328,0.17049837755670702,0.15046429008949286,0.17049837755670702,0.05535271235582251,0.19319997277878626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.170332803723035,only 1/20 valid samples,output/default_exp/Apertus_8B_Instruct-cpr-default=5-group_ext=0-payoff=20-v0-n20-blinded.json
Apertus_8B_Instruct,cpr,"default=5, group_ext=100, payoff=0",0,20,blinded,0.06937470787150145,0.21368911860083561,0.11437955651635205,0.14686624020864683,0.054029076815675287,0.18857998528126968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0420631859285296,only 1/20 valid samples,output/default_exp/Apertus_8B_Instruct-cpr-default=5-group_ext=100-payoff=0-v0-n20-blinded.json
Apertus_8B_Instruct,cpr,"group_ext=0, payoff=20",0,20,blinded,0.0904453557349657,0.2458559962711883,0.2458559962711883,0.14911919961267056,0.03327298692433149,0.02286816718644524,0.0,0.0,0.020181086709824606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5938070649597256,only 1/20 valid samples,output/default_exp/Apertus_8B_Instruct-cpr-group_ext=0-payoff=20-v0-n20-blinded.json
Apertus_8B_Instruct,cpr,"group_ext=100, payoff=0",0,20,blinded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no valid samples (all responses invalid/unparsed),output/default_exp/Apertus_8B_Instruct-cpr-group_ext=100-payoff=0-v0-n20-blinded.json
Apertus_8B_Instruct,cpr,"no default, no group extraction",0,20,blinded,0.07234379398224437,0.32422239079701326,0.252504651841997,0.15315181306223524,0.03015738007064431,0.02348659121439977,0.012571466364461187,0.0,0.02348659121439977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7900711379242544,only 1/20 valid samples,output/default_exp/Apertus_8B_Instruct-cpr-v0-n20-blinded.json
Claude_Opus_5,cpr,default=29,0,20,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,,output/default_exp/Claude_Opus_5-cpr-default=29-v0-n20-blinded.json
