model,task,condition,version,nsample,system_type,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,average,notes,file
Apertus_8B_Instruct,cpr,default=0,0,1,blinded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no valid samples (all responses invalid/unparsed),output/mult_default/Apertus_8B_Instruct-cpr-default=0-v0-n1-blinded.json
Apertus_8B_Instruct,cpr,default=11,0,1,blinded,0.021992337410062866,0.6427102520215696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6427102520215696,,output/mult_default/Apertus_8B_Instruct-cpr-default=11-v0-n1-blinded.json
Apertus_8B_Instruct,cpr,default=18,0,1,blinded,0.0,0.7327452197115325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7327452197115325,,output/mult_default/Apertus_8B_Instruct-cpr-default=18-v0-n1-blinded.json
Apertus_8B_Instruct,cpr,default=23,0,1,blinded,0.0,0.053854852162986216,0.656086411230158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3660276746233022,,output/mult_default/Apertus_8B_Instruct-cpr-default=23-v0-n1-blinded.json
Apertus_8B_Instruct,cpr,default=26,0,1,blinded,0.0,0.040465194850530475,0.6329821094401201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3064294137307708,,output/mult_default/Apertus_8B_Instruct-cpr-default=26-v0-n1-blinded.json
Apertus_8B_Instruct,cpr,default=30,0,1,blinded,0.027411021485703447,0.039882800927613565,0.0,0.706939519456894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1607013592982955,,output/mult_default/Apertus_8B_Instruct-cpr-default=30-v0-n1-blinded.json
Apertus_8B_Instruct,cpr,"no default, no group extraction",0,1,blinded,0.06807227385143597,0.3456994902206752,0.23759555331217458,0.16329687647986646,0.032155065336445125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4394014876304042,,output/mult_default/Apertus_8B_Instruct-cpr-v0-n1-blinded.json
Claude_Opus_5,cpr,default=0,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,output/mult_default/Claude_Opus_5-cpr-default=0-v0-n1-blinded.json
Claude_Opus_5,cpr,default=11,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,output/mult_default/Claude_Opus_5-cpr-default=11-v0-n1-blinded.json
Claude_Opus_5,cpr,default=18,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,output/mult_default/Claude_Opus_5-cpr-default=18-v0-n1-blinded.json
Claude_Opus_5,cpr,default=23,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,output/mult_default/Claude_Opus_5-cpr-default=23-v0-n1-blinded.json
Claude_Opus_5,cpr,default=26,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,output/mult_default/Claude_Opus_5-cpr-default=26-v0-n1-blinded.json
Claude_Opus_5,cpr,default=30,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,output/mult_default/Claude_Opus_5-cpr-default=30-v0-n1-blinded.json
Claude_Opus_5,cpr,"no default, no group extraction",0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,output/mult_default/Claude_Opus_5-cpr-v0-n1-blinded.json
DeepSeek_V3.1,cpr,default=0,0,1,blinded,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,output/mult_default/DeepSeek_V3.1-cpr-default=0-v0-n1-blinded.json
DeepSeek_V3.1,cpr,default=11,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,output/mult_default/DeepSeek_V3.1-cpr-default=11-v0-n1-blinded.json
DeepSeek_V3.1,cpr,default=18,0,1,blinded,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,output/mult_default/DeepSeek_V3.1-cpr-default=18-v0-n1-blinded.json
DeepSeek_V3.1,cpr,default=23,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,output/mult_default/DeepSeek_V3.1-cpr-default=23-v0-n1-blinded.json
DeepSeek_V3.1,cpr,default=26,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,output/mult_default/DeepSeek_V3.1-cpr-default=26-v0-n1-blinded.json
DeepSeek_V3.1,cpr,default=30,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,,output/mult_default/DeepSeek_V3.1-cpr-default=30-v0-n1-blinded.json
DeepSeek_V3.1,cpr,"no default, no group extraction",0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,output/mult_default/DeepSeek_V3.1-cpr-v0-n1-blinded.json
DeepSeek_V3.2,cpr,default=0,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,output/mult_default/DeepSeek_V3.2-cpr-default=0-v0-n1-blinded.json
DeepSeek_V3.2,cpr,default=11,0,1,blinded,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,output/mult_default/DeepSeek_V3.2-cpr-default=11-v0-n1-blinded.json
DeepSeek_V3.2,cpr,default=18,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,output/mult_default/DeepSeek_V3.2-cpr-default=18-v0-n1-blinded.json
DeepSeek_V3.2,cpr,default=23,0,1,blinded,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,output/mult_default/DeepSeek_V3.2-cpr-default=23-v0-n1-blinded.json
DeepSeek_V3.2,cpr,default=26,0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,output/mult_default/DeepSeek_V3.2-cpr-default=26-v0-n1-blinded.json
DeepSeek_V3.2,cpr,default=30,0,1,blinded,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,output/mult_default/DeepSeek_V3.2-cpr-default=30-v0-n1-blinded.json
DeepSeek_V3.2,cpr,"no default, no group extraction",0,1,blinded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,output/mult_default/DeepSeek_V3.2-cpr-v0-n1-blinded.json
