game,model,anchor,wording,raw_spike,base_p,net_pull,coverage,footnote_unresolved
CPR,gpt_5.1,0,V0_true,0.0,8.215668953401942e-05,-8.215668953401942e-05,0.9998683560236689,False
CPR,gpt_5.1,11,V0_true,0.653900975312596,0.0,0.653900975312596,0.9813618294503546,False
CPR,gpt_5.1,18,V0_true,0.8680498884850513,0.0,0.8680498884850513,0.999687306297795,False
CPR,gpt_5.1,23,V0_true,0.7718022038309649,0.0,0.7718022038309649,0.9978635242782443,False
CPR,gpt_5.1,26,V0_true,0.9805459842969312,0.0,0.9805459842969312,0.9990635737276408,False
CPR,gpt_5.1,30,V0_true,0.9997003328191272,0.99936829805577,0.00033203476335719184,0.9999533145214458,False
CPR,gpt_5.4,0,V0_true,0.1083747295533386,0.0,0.1083747295533386,0.999075952902839,False
CPR,gpt_5.4,11,V0_true,0.495394825280426,0.0,0.495394825280426,0.990789650560852,False
CPR,gpt_5.4,18,V0_true,0.9646004934717768,0.0,0.9646004934717768,0.9822677677821006,False
CPR,gpt_5.4,23,V0_true,0.9836030203361876,0.0,0.9836030203361876,0.9836030203361876,False
CPR,gpt_5.4,26,V0_true,0.2688631253841171,0.0,0.2688631253841171,0.9997088734584685,False
CPR,gpt_5.4,30,V0_true,0.9923844927241228,0.0449048061293889,0.9474796865947339,0.9923844927241228,False
CPR,gpt_5.4_mini,0,V0_true,0.9231815651925368,0.5200196381781403,0.40316192701439646,0.9989609227009749,False
CPR,gpt_5.4_mini,11,V0_true,0.9436548142963068,0.0,0.9436548142963068,0.9906366210513409,False
CPR,gpt_5.4_mini,18,V0_true,0.9116607568878724,0.0,0.9116607568878724,0.9974710486486262,False
CPR,gpt_5.4_mini,23,V0_true,0.9493487413063776,0.0,0.9493487413063776,0.9861589867065746,False
CPR,gpt_5.4_mini,26,V0_true,0.9045523541131862,0.0,0.9045523541131862,0.9836514838386231,False
CPR,gpt_5.4_mini,30,V0_true,0.9618667085364038,0.4049917014256443,0.5568750071107595,0.9991623281996086,False
CPR,gpt_5.4_nano,0,V0_true,0.2894362762673074,0.0,0.2894362762673074,0.9481378424900382,False
CPR,gpt_5.4_nano,11,V0_true,0.3461343291513174,0.0,0.3461343291513174,0.7813432919062699,False
CPR,gpt_5.4_nano,18,V0_true,0.7269737049213975,0.0,0.7269737049213975,0.9199736310832989,False
CPR,gpt_5.4_nano,23,V0_true,0.3298949484282883,0.0,0.3298949484282883,0.8741783890684003,False
CPR,gpt_5.4_nano,26,V0_true,0.3334677821716005,0.0,0.3334677821716005,0.8297453190284236,False
CPR,gpt_5.4_nano,30,V0_true,0.3158778976377256,0.0510344909348414,0.2648434067028842,0.9767594999595484,False
CPR,Llama_3.3_70B_Instruct,0,V0_true,5.04347662567888e-07,0.0,5.04347662567888e-07,1.0000000185734745,False
CPR,Llama_3.3_70B_Instruct,11,V0_true,0.9998293068697304,0.0,0.9998293068697304,0.999998782853694,False
CPR,Llama_3.3_70B_Instruct,18,V0_true,0.9860599884669706,0.0,0.9860599884669706,1.0001367749096035,False
CPR,Llama_3.3_70B_Instruct,23,V0_true,0.1175813317195654,0.0,0.1175813317195654,0.9996671411244039,False
CPR,Llama_3.3_70B_Instruct,26,V0_true,0.0065306421636537,0.0,0.0065306421636537,0.9994649296984436,False
CPR,Llama_3.3_70B_Instruct,30,V0_true,0.0092096816039681,0.0,0.0092096816039681,0.999615430239505,False
CPR,Qwen3_235B_A22B_Instruct,0,V0_true,0.6435597296300535,0.0,0.6435597296300535,0.9977601500779183,False
CPR,Qwen3_235B_A22B_Instruct,11,V0_true,0.9970501414533856,0.0,0.9970501414533856,0.9994888309999722,False
CPR,Qwen3_235B_A22B_Instruct,18,V0_true,0.99717428002479,2.201266771185447e-05,0.9971522673570782,0.9976003230134409,False
CPR,Qwen3_235B_A22B_Instruct,23,V0_true,0.9988975427689032,0.0,0.9988975427689032,0.9992425627500499,False
CPR,Qwen3_235B_A22B_Instruct,26,V0_true,0.9978856220450402,0.0,0.9978856220450402,0.9988114485513958,False
CPR,Qwen3_235B_A22B_Instruct,30,V0_true,0.9560982624887938,0.0,0.9560982624887938,0.9561405193122458,False
CPR,Llama_3.3_70B_Instruct,18,V1,0.999845516693775,0.0,0.999845516693775,0.999999294777392,False
CPR,Llama_3.3_70B_Instruct,18,V2,4.222851277057527e-06,0.0,4.222851277057527e-06,1.000005103363445,False
CPR,Llama_3.3_70B_Instruct,18,V3,0.9946433047341442,0.0,0.9946433047341442,1.0000121068468757,False
CPR,Llama_3.3_70B_Instruct,18,V4,0.0555414883310688,0.0,0.0555414883310688,0.999467930030562,False
CPR,Llama_3.3_70B_Instruct,26,V1,0.0002165909513768,0.0,0.0002165909513768,1.000217364519287,False
CPR,Llama_3.3_70B_Instruct,26,V2,0.0,0.0,0.0,1.0002699204567946,True
CPR,Llama_3.3_70B_Instruct,26,V3,0.0005035890497369,0.0,0.0005035890497369,0.999463938122865,False
CPR,Llama_3.3_70B_Instruct,26,V4,0.0,0.0,0.0,0.9998120951490012,True
CPR,Qwen3_235B_A22B_Instruct,18,V1,0.9983807566002008,2.201266771185447e-05,0.9983587439324889,0.9985440469529512,False
CPR,Qwen3_235B_A22B_Instruct,18,V2,0.7230951087736361,2.201266771185447e-05,0.7230730961059243,0.926278744023141,False
CPR,Qwen3_235B_A22B_Instruct,18,V3,0.9991829650129193,2.201266771185447e-05,0.9991609523452074,0.9995148363892936,False
CPR,Qwen3_235B_A22B_Instruct,18,V4,0.9993023970301718,2.201266771185447e-05,0.9992803843624599,0.9996938150109448,False
CPR,Qwen3_235B_A22B_Instruct,26,V1,0.9984271098897484,0.0,0.9984271098897484,0.9991231340378548,False
CPR,Qwen3_235B_A22B_Instruct,26,V2,0.6245940811404521,0.0,0.6245940811404521,0.8903526262164748,False
CPR,Qwen3_235B_A22B_Instruct,26,V3,0.9975952010354416,0.0,0.9975952010354416,0.99953557308494,False
CPR,Qwen3_235B_A22B_Instruct,26,V4,0.9986582213260904,0.0,0.9986582213260904,0.9993521532698004,False
CPR,gpt_5.1,18,V1,0.7526872248490089,0.0,0.7526872248490089,0.9988578770364892,False
CPR,gpt_5.1,18,V2,0.2211768571775573,0.0,0.2211768571775573,0.999333032527692,False
CPR,gpt_5.1,18,V3,0.9988486576750673,0.0,0.9988486576750673,0.999980842861119,False
CPR,gpt_5.1,18,V4,0.9836175252057108,0.0,0.9836175252057108,0.9997729952343436,False
CPR,gpt_5.1,26,V1,0.9151382831766834,0.0,0.9151382831766834,0.9994996644570132,False
CPR,gpt_5.1,26,V2,0.9731401474200984,0.0,0.9731401474200984,0.9997532524688753,False
CPR,gpt_5.1,26,V3,0.9999583243796896,0.0,0.9999583243796896,0.9999984434892394,False
CPR,gpt_5.1,26,V4,0.9787942090690628,0.0,0.9787942090690628,0.99987190890249,False
CPR,gpt_5.4,18,V1,0.8774951077022218,0.0,0.8774951077022218,0.996251156641844,False
CPR,gpt_5.4,18,V2,0.1824055403370298,0.0,0.1824055403370298,0.9998904568346056,False
CPR,gpt_5.4,18,V3,0.9399005556540118,0.0,0.9399005556540118,0.9999863879239688,False
CPR,gpt_5.4,18,V4,0.1726493509062874,0.0,0.1726493509062874,0.9958749270734064,False
CPR,gpt_5.4,26,V1,0.880667448043336,0.0,0.880667448043336,0.9998528265615456,False
CPR,gpt_5.4,26,V2,0.5000236030440901,0.0,0.5000236030440901,1.0000472060881802,False
CPR,gpt_5.4,26,V3,0.3774088224004215,0.0,0.3774088224004215,0.9996507756418834,False
CPR,gpt_5.4_mini,18,V1,0.9938809502083924,0.0,0.9938809502083924,0.9938809502083924,False
CPR,gpt_5.4_mini,18,V2,0.6135632121416169,0.0,0.6135632121416169,0.9857081119772744,False
CPR,gpt_5.4_mini,18,V3,0.9736282039121396,0.0,0.9736282039121396,0.9875162643531412,False
CPR,gpt_5.4_mini,18,V4,0.9536535448908384,0.0,0.9536535448908384,0.9985091082976884,False
CPR,gpt_5.4_mini,26,V1,0.9912381045175476,0.0,0.9912381045175476,0.9912381045175476,False
CPR,gpt_5.4_mini,26,V4,0.6662096835215219,0.0,0.6662096835215219,0.9809048551292656,False
CPR,gpt_5.4_nano,18,V1,0.9450446083772964,0.0,0.9450446083772964,0.9852553188079504,False
CPR,gpt_5.4_nano,18,V2,0.9596839759178196,0.0,0.9596839759178196,0.9924119018667574,False
CPR,gpt_5.4_nano,18,V3,0.990720578182396,0.0,0.990720578182396,0.9972791242899066,False
CPR,gpt_5.4_nano,18,V4,0.582046470070366,0.0,0.582046470070366,0.8415413375383913,False
CPR,gpt_5.4_nano,26,V1,0.8570838123636447,0.0,0.8570838123636447,0.974540591694776,False
CPR,gpt_5.4_nano,26,V2,0.7083163959050739,0.0,0.7083163959050739,0.9472669783225536,False
CPR,gpt_5.4_nano,26,V3,0.9956746860597294,0.0,0.9956746860597294,0.998343814518616,False
CPR,gpt_5.4_nano,26,V4,0.3023285612171281,0.0,0.3023285612171281,0.8577822865423121,False
CRD,gpt_5.1,0,V0_true,0.5583180842439422,0.022286113154723088,0.5360319710892192,0.9999999035671592,False
CRD,gpt_5.1,0,V1,0.0188331217056785,0.022286113154723088,-0.0034529914490445887,1.0000000108137208,False
CRD,gpt_5.1,0,V2,0.0035936024180469,0.022286113154723088,-0.018692510736676188,1.0000000070802169,False
CRD,gpt_5.1,0,V3,0.993901584427564,0.022286113154723088,0.971615471272841,0.999999913068336,False
CRD,gpt_5.1,2,V0_true,1.514242536233277e-07,3.4228329568815133e-06,-3.2714087032581854e-06,1.0000000045770905,False
CRD,gpt_5.1,2,V1,1.1014032866307575e-06,3.4228329568815133e-06,-2.321429670250756e-06,0.9999999483439888,False
CRD,gpt_5.1,2,V2,4.7850717579110314e-06,3.4228329568815133e-06,1.3622388010295181e-06,0.9999999921791376,False
CRD,gpt_5.1,2,V3,0.196822096469525,3.4228329568815133e-06,0.19681867363656813,0.9999999211111592,False
CRD,gpt_5.1,4,V0_true,0.9999983759447104,0.9777105405505083,0.022287835394202093,1.0000000294687417,False
CRD,gpt_5.1,4,V1,0.999992415788822,0.9777105405505083,0.02228187523831371,0.999999949931149,False
CRD,gpt_5.1,4,V2,0.9999907469519438,0.9777105405505083,0.022280206401435465,0.9999999716791108,False
CRD,gpt_5.1,4,V3,0.9999996871837232,0.9777105405505083,0.022289146633214907,0.9999997183698484,False
CRD,gpt_5.4,0,V0_true,0.999382209953872,0.9925662203890001,0.006815989564871838,0.999382209953872,False
CRD,gpt_5.4,0,V1,0.9994203340868636,0.9925662203890001,0.006854113697863484,0.9994203340868636,False
